event-id,visible,timestamp,location-long,location-lat,comments,gps:hdop,gps:satellite-count,ground-speed,heading,height-above-ellipsoid,sequence-number,sigfox:computed-location-radius,sigfox:computed-location-source,sigfox:computed-location-status,sigfox:country,sigfox:device-type,sigfox:duplicates,sigfox:link-quality,sigfox:lqi,sigfox:operator,sigfox:rssi,tag-voltage,transmission-protocol,transmission-timestamp,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
21262173688,true,2022-02-11 14:42:00.000,9.8393,47.69213333333333,"501fc7",,,,,,146,,,,,,,,,,,3.7,"callback",2022-02-11 14:42:06.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
21262214065,true,2022-02-11 15:10:00.000,9.8391,47.69213333333333,"501fcc",,,,,,147,,,,,,,,,,,3.7,"callback",2022-02-11 15:10:16.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
21262363104,true,2022-02-11 16:02:00.000,9.839233333333333,47.69201666666667,"501fda",,,,,,148,,,,,,,,,,,3.7,"callback",2022-02-11 16:02:35.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
21262554172,true,2022-02-11 18:13:00.000,9.8393,47.69213333333333,"501ff4",,,,,,149,,,,,,,,,,,3.7,"callback",2022-02-11 18:13:46.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
21262558055,true,2022-02-11 18:20:00.000,9.839333333333334,47.69215,"501ff7",,,,,,150,,,,,,,,,,,3.7,"callback",2022-02-11 18:20:58.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
21262558061,true,2022-02-11 18:23:00.000,9.839333333333334,47.692116666666664,"501ff8",,,,,,151,,,,,,,,,,,3.7,"callback",2022-02-11 18:23:23.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
23064806199,true,2022-06-29 08:22:00.000,9.8393,47.6921,"601ffc",,,,,,152,,,,,,,,,,,3.8,"callback",2022-06-29 08:22:19.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
23064839939,true,2022-06-29 08:29:00.000,9.839266666666667,47.692,"500001",,,,,,153,,,,,,,,,,,3.7,"callback",2022-06-29 08:29:17.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
23064841182,true,2022-06-29 08:31:00.000,9.839233333333333,47.692,"500003",,,,,,154,,,,,,,,,,,3.7,"callback",2022-06-29 08:31:40.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
23064918275,true,2022-06-29 09:14:00.000,9.8392,47.692116666666664,"60000f",,,,,,155,,,,,,,,,,,3.8,"callback",2022-06-29 09:14:35.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
23064920494,true,2022-06-29 09:17:00.000,9.839333333333334,47.69213333333333,"600010",,,,,,156,,,,,,,,,,,3.8,"callback",2022-06-29 09:17:06.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
23064926492,true,2022-06-29 09:21:00.000,9.839166666666667,47.69213333333333,"600012",,,,,,157,,,,,,,,,,,3.8,"callback",2022-06-29 09:21:49.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
23064935314,true,2022-06-29 09:30:00.000,9.839366666666667,47.6922,"600015",,,,,,158,,,,,,,,,,,3.8,"callback",2022-06-29 09:30:35.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
23065119405,true,2022-06-29 09:41:00.000,9.839333333333334,47.692116666666664,"600019",,,,,,159,,,,,,,,,,,3.8,"callback",2022-06-29 09:41:06.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
23065139470,true,2022-06-29 09:45:00.000,9.839333333333334,47.69215,"60001b",,,,,,160,,,,,,,,,,,3.8,"callback",2022-06-29 09:45:24.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
23065158451,true,2022-06-29 09:49:00.000,9.839133333333333,47.692033333333335,"60001e",,,,,,162,,,,,,,,,,,3.8,"callback",2022-06-29 09:49:18.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
23065167961,true,2022-06-29 09:54:00.000,9.839266666666667,47.692033333333335,"600024",,,,,,163,,,,,,,,,,,3.8,"callback",2022-06-29 09:54:39.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
23065182396,true,2022-06-29 09:59:00.000,9.839433333333334,47.692116666666664,"60002a",,,,,,164,,,,,,,,,,,3.8,"callback",2022-06-29 09:59:35.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
23065196764,true,2022-06-29 10:04:00.000,9.839266666666667,47.69201666666667,"600030",,,,,,165,,,,,,,,,,,3.8,"callback",2022-06-29 10:04:30.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
23065294142,true,2022-06-29 10:09:00.000,9.839333333333334,47.69206666666667,"600036",,,,,,166,,,,,,,,,,,3.8,"callback",2022-06-29 10:09:33.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
23065374423,true,2022-06-29 10:14:00.000,9.839266666666667,47.692116666666664,"60003c",,,,,,167,,,,,,,,,,,3.8,"callback",2022-06-29 10:14:33.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
23065399270,true,2022-06-29 10:19:00.000,9.839166666666667,47.69198333333333,"600042",,,,,,168,,,,,,,,,,,3.8,"callback",2022-06-29 10:19:35.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
23065451262,true,2022-06-29 10:24:00.000,9.839366666666667,47.69213333333333,"600048",,,,,,169,,,,,,,,,,,3.8,"callback",2022-06-29 10:24:27.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
23065460415,true,2022-06-29 10:29:00.000,9.839266666666667,47.69213333333333,"60004e",,,,,,170,,,,,,,,,,,3.8,"callback",2022-06-29 10:29:29.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
23065480334,true,2022-06-29 10:34:00.000,9.839266666666667,47.692166666666665,"600054",,,,,,171,,,,,,,,,,,3.8,"callback",2022-06-29 10:34:24.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
23065512150,true,2022-06-29 10:39:00.000,9.839333333333334,47.69218333333333,"60005a",,,,,,172,,,,,,,,,,,3.8,"callback",2022-06-29 10:39:29.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
23065564142,true,2022-06-29 10:44:00.000,9.839233333333333,47.692,"600060",,,,,,173,,,,,,,,,,,3.8,"callback",2022-06-29 10:44:35.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
23065571249,true,2022-06-29 10:49:00.000,9.839366666666667,47.69215,"600066",,,,,,174,,,,,,,,,,,3.8,"callback",2022-06-29 10:49:28.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
23065580718,true,2022-06-29 10:54:00.000,9.839266666666667,47.69206666666667,"60006c",,,,,,175,,,,,,,,,,,3.8,"callback",2022-06-29 10:54:29.000,"gps","Sus scrofa","1F9064C","1F9064C (4110)","boar_study_austria"
